 (+) Audio --aid=1 --alang=eng (*) (opus 2ch 48000Hz)
File tags:
 Uploader: HALIDONMUSIC
 Channel_URL: https://www.youtube.com/channel/UCyOfqgtsQaM3S-VZnsYnHjQ
AO: [pipewire] 48000Hz stereo 2ch floatp
A: -00:00:00 / 01:54:27 (0%) Cache: 0.8s/25KB
A: 00:00:00 / 01:54:27 (0%) Cache: 0.8s/24KB
A: 00:00:00 / 01:54:27 (0%) Cache: 0.7s/22KB
A: 00:00:00 / 01:54:27 (0%) Cache: 0.7s/21KB
A: 00:00:00 / 01:54:27 (0%) Cache: 1.6s/61KB
A: 00:00:00 / 01:54:27 (0%) Cache: 1.6s/59KB
A: 00:00:00 / 01:54:27 (0%) Cache: 1.5s/57KB
A: 00:00:00 / 01:54:27 (0%) Cache: 1.4s/56KB
A: 00:00:00 / 01:54:27 (0%) Cache: 1.4s/55KB
A: 00:00:00 / 01:54:27 (0%) Cache: 1.3s/53KB
A: 00:00:00 / 01:54:27 (0%) Cache: 1.3s/51KB
A: 00:00:00 / 01:54:27 (0%) Cache: 1.2s/50KB
A: 00:00:00 / 01:54:27 (0%) Cache: 2.0s/85KB
A: 00:00:00 / 01:54:27 (0%) Cache: 1.9s/83KB
A: 00:00:00 / 01:54:27 (0%) Cache: 1.9s/80KB
A: 00:00:00 / 01:54:27 (0%) Cache: 1.8s/76KB
A: 00:00:00 / 01:54:27 (0%) Cache: 1.7s/74KB
A: 00:00:00 / 01:54:27 (0%) Cache: 1.7s/72KB
A: 00:00:01 / 01:54:27 (0%) Cache: 1.6s/70KB
A: 00:00:01 / 01:54:27 (0%) Cache: 2.4s/106KB
A: 00:00:01 / 01:54:27 (0%) Cache: 2.3s/103KB
A: 00:00:01 / 01:54:27 (0%) Cache: 2.3s/101KB
A: 00:00:01 / 01:54:27 (0%) Cache: 2.2s/99KB
A: 00:00:01 / 01:54:27 (0%) Cache: 2.2s/96KB
A: 00:00:01 / 01:54:27 (0%) Cache: 2.1s/94KB
A: 00:00:01 / 01:54:27 (0%) Cache: 2.1s/92KB
A: 00:00:01 / 01:54:27 (0%) Cache: 2.0s/89KB
A: 00:00:01 / 01:54:27 (0%) Cache: 2.8s/124KB
A: 00:00:01 / 01:54:27 (0%) Cache: 2.7s/121KB
A: 00:00:01 / 01:54:27 (0%) Cache: 2.7s/119KB
A: 00:00:01 / 01:54:27 (0%) Cache: 2.6s/117KB
A: 00:00:01 / 01:54:27 (0%) Cache: 2.5s/114KB
A: 00:00:01 / 01:54:27 (0%) Cache: 2.5s/111KB
A: 00:00:01 / 01:54:27 (0%) Cache: 2.4s/108KB
A: 00:00:01 / 01:54:27 (0%) Cache: 2.4s/107KB
A: 00:00:02 / 01:54:27 (0%) Cache: 3.2s/142KB
A: 00:00:02 / 01:54:27 (0%) Cache: 3.1s/138KB
A: 00:00:02 / 01:54:27 (0%) Cache: 3.0s/135KB
A: 00:00:02 / 01:54:27 (0%) Cache: 3.0s/133KB
A: 00:00:02 / 01:54:27 (0%) Cache: 2.9s/130KB
A: 00:00:02 / 01:54:27 (0%) Cache: 2.9s/128KB
A: 00:00:02 / 01:54:27 (0%) Cache: 2.8s/125KB
A: 00:00:02 / 01:54:27 (0%) Cache: 3.6s/160KB
A: 00:00:02 / 01:54:27 (0%) Cache: 3.5s/157KB
A: 00:00:02 / 01:54:27 (0%) Cache: 3.5s/154KB
A: 00:00:02 / 01:54:27 (0%) Cache: 3.4s/152KB
A: 00:00:02 / 01:54:27 (0%) Cache: 3.3s/149KB
A: 00:00:02 / 01:54:27 (0%) Cache: 3.3s/146KB
A: 00:00:02 / 01:54:27 (0%) Cache: 3.2s/143KB
A: 00:00:02 / 01:54:27 (0%) Cache: 3.2s/140KB
A: 00:00:02 / 01:54:27 (0%) Cache: 3.1s/138KB
A: 00:00:02 / 01:54:27 (0%) Cache: 3.9s/174KB
A: 00:00:03 / 01:54:27 (0%) Cache: 3.8s/171KB
A: 00:00:03 / 01:54:27 (0%) Cache: 3.8s/168KB
A: 00:00:03 / 01:54:27 (0%) Cache: 3.7s/165KB
A: 00:00:03 / 01:54:27 (0%) Cache: 3.7s/163KB
A: 00:00:03 / 01:54:27 (0%) Cache: 4.4s/198KB
A: 00:00:03 / 01:54:27 (0%) Cache: 4.4s/196KB
A: 00:00:03 / 01:54:27 (0%) Cache: 4.3s/192KB
A: 00:00:03 / 01:54:27 (0%) Cache: 4.3s/190KB
A: 00:00:03 / 01:54:27 (0%) Cache: 4.2s/188KB
A: 00:00:03 / 01:54:27 (0%) Cache: 4.1s/185KB
A: 00:00:03 / 01:54:27 (0%) Cache: 4.1s/182KB
A: 00:00:03 / 01:54:27 (0%) Cache: 4.0s/179KB
A: 00:00:03 / 01:54:27 (0%) Cache: 4.0s/177KB
A: 00:00:03 / 01:54:27 (0%) Cache: 4.8s/214KB
A: 00:00:03 / 01:54:27 (0%) Cache: 4.7s/211KB
A: 00:00:03 / 01:54:27 (0%) Cache: 4.7s/208KB
A: 00:00:04 / 01:54:27 (0%) Cache: 4.6s/206KB
